data,acquired_by_app_immuni,acquired_by_app_immuni_total,acquired_by_web_ts,acquired_by_web_ts_total,acquired_by_web_id,acquired_by_web_id_total,acquired_by_web_spid,acquired_by_web_spid_total,acquired_by_operator_ts,acquired_by_operator_ts_total,acquired_by_operator_id,acquired_by_operator_id_total,acquired_by_app_io,acquired_by_app_io_total,acquired_all,acquired_all_total
2022-01-01,80400,14989932,278512,62120803,2419,673049,36482,47932339,44940,12764008,7544,2934149,635755,152065416,1086052,293479696
2021-12-31,108974,14909532,422924,61842291,4349,670630,402601,47895857,76763,12719068,23386,2926605,968970,151429661,2007967,292393644
2021-12-30,150263,14800558,615828,61419367,4602,666281,464690,47493256,114101,12642305,137251,2903219,1368709,150460691,2855444,290385677
2021-12-29,133570,14650295,531820,60803539,5405,661679,449874,47028566,97580,12528204,82791,2765968,1118349,149091982,2419389,287530233
2021-12-28,116119,14516725,451407,60271719,4805,656274,413280,46578692,87218,12430624,238888,2683177,1049283,147973633,2361000,285110844
2021-12-27,100216,14400606,417939,59820312,6107,651469,526284,46165412,72942,12343406,92776,2444289,943601,146924350,2159865,282749844
2021-12-26,77438,14300390,259222,59402373,2268,645362,86526,45639128,41076,12270464,8472,2351513,629543,145980749,1104545,280589979
2021-12-25,85229,14222952,237198,59143151,1357,643094,30508,45552602,35737,12229388,3511,2343041,524227,145351206,917767,279485434
2021-12-24,102015,14137723,374108,58905953,3350,641737,429377,45522094,64979,12193651,17665,2339530,825414,144826979,1816908,278567667
2021-12-23,102169,14035708,413643,58531845,4587,638387,418622,45092717,75336,12128672,142609,2321865,969539,144001565,2126505,276750759
2021-12-22,106628,13933539,452090,58118202,5282,633800,472698,44674095,76275,12053336,26983,2179256,925791,143032026,2065747,274624254
2021-12-21,92955,13826911,391244,57666112,4978,628518,411768,44201397,70898,11977061,16954,2152273,870454,142106235,1859251,272558507
2021-12-20,109130,13733956,502229,57274868,5955,623540,560285,43789629,76639,11906163,20741,2135319,865499,141235781,2140478,270699256
2021-12-19,104617,13624826,373566,56772639,2412,617585,118539,43229344,59122,11829524,7805,2114578,737817,140370282,1403878,268558778
2021-12-18,103113,13520209,370144,56399073,4005,615173,341700,43110805,62672,11770402,16785,2106773,870252,139632465,1768671,267154900
2021-12-17,100298,13417096,412495,56028929,5691,611168,418738,42769105,69845,11707730,17753,2089988,910427,138762213,1935247,265386229
2021-12-16,101614,13316798,428923,55616434,5451,605477,403690,42350367,76817,11637885,15828,2072235,899672,137851786,1931995,263450982
2021-12-15,108871,13215184,459743,55187511,5458,600026,461314,41946677,86948,11561068,16439,2056407,980405,136952114,2119178,261518987
2021-12-14,97341,13106313,428579,54727768,5093,594568,383305,41485363,78226,11474120,13991,2039968,869354,135971709,1875889,259399809
2021-12-13,88586,13008972,387441,54299189,4723,589475,553353,41102058,71915,11395894,18478,2025977,857434,135102355,1981930,257523920
2021-12-12,94575,12920386,344077,53911748,2538,584752,112822,40548705,56264,11323979,7142,2007499,717042,134244921,1334460,255541990
2021-12-11,96584,12825811,349404,53567671,4120,582214,326975,40435883,62557,11267715,16257,2000357,869119,133527879,1725016,254207530
