data,issued_for_vaccines,issued_for_vaccines_total,issued_for_tests,issued_for_tests_total,issued_for_healing,issued_for_healing_total,issued_all,issued_all_total
2022-01-11,653257,104264851,964041,86521798,173577,3421346,1790875,194207995
2022-01-10,430315,103611594,1270654,85557757,96742,3247769,1797711,192417120
2022-01-09,642735,103181279,452046,84287103,40520,3151027,1135301,190619409
2022-01-08,667067,102538544,910359,83835057,46763,3110507,1624189,189484108
2022-01-07,355873,101871477,1075633,82924698,76361,3063744,1507867,187859919
2022-01-06,675119,101515604,355624,81849065,30527,2987383,1061270,186352052
2022-01-05,686455,100840485,1064990,81493441,55706,2956856,1807151,185290782
2022-01-04,615065,100154030,975389,80428451,43663,2901150,1634117,183483631
2022-01-03,341543,99538965,1219385,79453062,42851,2857487,1603779,181849514
2022-01-02,75498,99197422,394621,78233677,14673,2814636,484792,180245735
2022-01-01,296288,99121924,215931,77839056,16418,2799963,528637,179760943
2021-12-31,593745,98825636,1305699,77623125,24957,2783545,1924401,179232306
2021-12-30,1605116,98231891,1360606,76317426,22591,2758588,2988313,177307905
2021-12-29,699631,96626775,1220637,74956820,20564,2735997,1940832,174319592
2021-12-28,564013,95927144,1119108,73736183,20435,2715433,1703556,172378760
2021-12-27,162390,95363131,1228224,72617075,15229,2694998,1405843,170675204
2021-12-26,40260,95200741,301554,71388851,6674,2679769,348488,169269361
2021-12-25,254681,95160481,171296,71087297,7293,2673095,433270,168920873
2021-12-24,498766,94905800,1205808,70916001,17374,2665802,1721948,168487603
2021-12-23,568892,94407034,1069340,69710193,25108,2648428,1663340,166765655
2021-12-22,562228,93838142,1040864,68640853,15484,2623320,1618576,165102315
2021-12-21,565052,93275914,855436,67599989,18874,2607836,1439362,163483739
2021-12-20,411844,92710862,1034214,66744553,16368,2588962,1462426,162044377
2021-12-19,506868,92299018,358502,65710339,7394,2572594,872764,160581951
2021-12-18,575911,91792150,685105,65351837,12533,2565200,1273549,159709187
2021-12-17,574378,91216239,808412,64666732,15245,2552667,1398035,158435638
2021-12-16,579430,90641861,786140,63858320,16208,2537422,1381778,157037603
2021-12-15,542047,90062431,884891,63072180,14981,2521214,1441919,155655825
2021-12-14,537417,89520384,698143,62187289,16207,2506233,1251767,154213906
2021-12-13,328005,88982967,968461,61489146,14823,2490026,1311289,152962139
2021-12-12,501631,88654962,330943,60520685,6729,2475203,839303,151650850
2021-12-11,574257,88153331,614171,60189742,9241,2468474,1197669,150811547
2021-12-10,568096,87579074,608675,59575571,12435,2459233,1189206,149613878
2021-12-09,545972,87010978,920169,58966896,12352,2446798,1478493,148424672
2021-12-08,513749,86465006,327350,58046727,8172,2434446,849271,146946179
2021-12-07,513191,85951257,670784,57719377,10421,2426274,1194396,146096908
2021-12-06,311262,85438066,891442,57048593,12275,2415853,1214979,144902512
2021-12-05,968069,85126804,336563,56157151,5369,2403578,1310001,143687533
2021-12-04,21035,84158735,697670,55820588,6564,2398209,725269,142377532
2021-12-03,464459,84137700,766715,55122918,9529,2391645,1240703,141652263
2021-12-02,498888,83673241,682493,54356203,10066,2382116,1191447,140411560
2021-12-01,345937,83174353,829331,53673710,9010,2372050,1184278,139220113
2021-11-30,365457,82828416,656223,52844379,8809,2363040,1030489,138035835
2021-11-29,169911,82462959,924016,52188156,8702,2354231,1102629,137005346
2021-11-28,305781,82293048,296869,51264140,3856,2345529,606506,135902717
2021-11-27,355079,81987267,666125,50967271,4790,2341673,1025994,135296211
2021-11-26,349901,81632188,721089,50301146,6982,2336883,1077972,134270217
2021-11-25,307812,81282287,659220,49580057,7261,2329901,974293,133192245
2021-11-24,271399,80974475,832154,48920837,5908,2322640,1109461,132217952
2021-11-23,261227,80703076,622790,48088683,6686,2316732,890703,131108491
2021-11-22,110079,80441849,905616,47465893,5941,2310046,1021636,130217788
2021-11-21,197514,80331770,294294,46560277,2905,2304105,494713,129196152
2021-11-20,226142,80134256,651869,46265983,3912,2301200,881923,128701439
2021-11-19,274692,79908114,710143,45614114,5081,2297288,989916,127819516
2021-11-18,192523,79633422,640100,44903971,5411,2292207,838034,126829600
2021-11-17,210310,79440899,798799,44263871,5381,2286796,1014490,125991566
2021-11-16,207494,79230589,606404,43465072,6111,2281415,820009,124977076
2021-11-15,88153,79023095,888168,42858668,4511,2275304,980832,124157067
2021-11-14,166990,78934942,274355,41970500,2131,2270793,443476,123176235
2021-11-13,219327,78767952,604158,41696145,2997,2268662,826482,122732759
2021-11-12,234830,78548625,660780,41091987,4049,2265665,899659,121906277
2021-11-11,189670,78313795,596982,40431207,4228,2261616,790880,121006618
2021-11-10,194827,78124125,770254,39834225,4269,2257388,969350,120215738
2021-11-09,200886,77929298,575990,39063971,4496,2253119,781372,119246388
2021-11-08,81783,77728412,867766,38487981,3680,2248623,953229,118465016
2021-11-07,156775,77646629,266030,37620215,1793,2244943,424598,117511787
2021-11-06,230399,77489854,594007,37354185,2455,2243150,826861,117087189
2021-11-05,210881,77259455,578405,36760178,3560,2240695,792846,116260328
2021-11-04,196597,77048574,700946,36181773,3918,2237135,901461,115467482
2021-11-03,170498,76851977,639996,35480827,3275,2233217,813769,114566021
2021-11-02,245570,76681479,859372,34840831,3978,2229942,1108920,113752252
2021-11-01,81336,76435909,298143,33981459,2230,2225964,381709,112643332
2021-10-31,149669,76354573,217284,33683316,1214,2223734,368167,112261623
2021-10-30,198828,76204904,597982,33466032,1744,2222520,798554,111893456
2021-10-29,36916,76006076,619701,32868050,2829,2220776,659446,111094902
2021-10-28,206628,75969160,589755,32248349,2706,2217947,799089,110435456
2021-10-27,183457,75762532,798821,31658594,3024,2215241,985302,109636367
2021-10-26,204681,75579075,581393,30859773,3527,2212217,789601,108651065
2021-10-25,123668,75374394,907781,30278380,3177,2208690,1034626,107861464
2021-10-24,179199,75250726,261064,29370599,1092,2205513,441355,106826838
2021-10-23,225464,75071527,588256,29109535,1957,2204421,815677,106385483
2021-10-22,213252,74846063,661203,28521279,3904,2202464,878359,105569806
2021-10-21,210077,74632811,607330,27860076,3271,2198560,820678,104691447
2021-10-20,177124,74422734,801134,27252746,3597,2195289,981855,103870769
2021-10-19,203719,74245610,598183,26451612,4436,2191692,806338,102888914
2021-10-18,130170,74041891,914702,25853429,4512,2187256,1049384,102082576
2021-10-17,174141,73911721,261731,24938727,1530,2182744,437402,101033192
2021-10-16,211188,73737580,560269,24676996,2372,2181214,773829,100595790
2021-10-15,208831,73526392,653827,24116727,4381,2178842,867039,99821961
